Species,Symbol,Plot,Pull date,Picture ID,Fruiting bodies (y/n),Fungal ID,Wet weight excess (g),Wet weight log (g),Post-drill wet weight (g),Dry mass (total) (g),Dry mass for volume (g),Volume (kg),Absorption (- kg),Date removed from oven,Notes
QUAL-b,6-A,4-L,6/17/2014,,n,NA,168.94,855.97,848.93,,,,,,"log pulled from plot 6/17 & put in fridge overnight, processed 6/18"
QUVE2-b,2-B,4-L,6/17/2014,,n,NA,301.93,622.65,608.63,,,,,,"log pulled from plot 6/17 & put in fridge overnight, processed 6/18; ant nest"
CEDA,,4-L,,,,,,,,,,,,,
CHRY,,4-L,,,,,,,,,,,,,
HDMP,,4-L,,,,,,,,,,,,,
HICK,,4-L,,,,,,,,,,,,,
PINE,,4-L,,,,,,,,,,,,,
ROAK,,4-L,,,,,,,,,,,,,
ROSE,,4-L,,,,,,,,,,,,,
ZEBRA,,4-L,,,,,,,,,,,,,
ACRU,3-E,4-H,6/10/2014,,n,NA,81.57,587.39,577,,,,,,
AEGL,1-G,4-H,6/10/2014,,n,NA,57.96,320.31,299.03,,,,,,
AMAR,3-J,4-H,6/10/2014,,n,NA,83.13,127.11,121.33,,,,,,
ASTR,2-B,4-H,6/10/2014,,n,NA,1.35,149.96,145.38,,,,,,grub w/frass
CATO,2-E,4-H,6/10/2014,,n,NA,135.46,467.62,457.08,,,,,,
CEOC,3-K,4-H,6/10/2014,,n,NA,38.36,471.38,464.17,,,,,,
CEOC2,2-R,4-H,6/10/2014,,y,"UNK old yellow tooth, collected",17.32,206.2,200.11,,,,,,
COFL,3-A,4-H,6/10/2014,,n,NA,39.03,357.28,341.59,,,,,,
DIVI,3-C,4-H,6/10/2014,,n,NA,25.26,305.1,295.38,,,,,,
FRAM,2-B,4-H,6/10/2014,,y,UNK crust,0,806.33,799.78,,,,,,
GLTR,4-I,4-H,6/10/2014,,n,NA,20.8,287.85,276.8,,,,,,
JUNI,2-K,4-H,6/10/2014,,y,UNK crusts,1.58,287.8,280.57,,,,,,
JUVI,4-H,4-H,6/10/2014,,n,NA,7.62,293.95,290.23,,,,,,
JUVI2,6-E,4-H,6/10/2014,,n,NA,15.01,521.98,516.92,,,,,,
LOMA,5-A,4-H,6/10/2014,,n,NA,0,868.34,860.46,,,,,,
PIEC,2-A,4-H,6/10/2014,,n,NA,8.36,667.06,660.74,,,,,,
PIST,1-I,4-H,6/10/2014,,n,NA,2.25,206.3,197.01,,,,,,
PLOC,3-1-C,4-H,6/10/2014,,n,NA,16.48,454.51,446.99,,,,,,
PRSE/PRVI,1-K,4-H,6/10/2014,,n,NA,87.77,272.91,265.7,,,,,,termite nest
QUAL,1-F,4-H,6/10/2014,,y,small UNK polypore,3.78,370.91,360.06,,,,,,
QUVE,2-D,4-H,6/10/2014,,n,NA,187.14,184.44,179.62,,,,,,termites + spider web/nest
QUVE2,1-G,4-H,6/10/2014,,n,NA,211.41,492.14,483.65,,,,,,termites  
ULRU,1-D,4-H,6/10/2014,,n,NA,92.54,505.94,498.09,,,,,,
VIVU,2-2-I,4-H,6/10/2014,,n,NA,88.25,68.67,62.21,,,,,,ants
CEOC2-b,2-H,4-H,6/11/2014,,y,"UNK tiny white gills, collected",0.47,405.52,396.37,,,,,,
FRAM-b,2-E,4-H,6/11/2014,,y,"UNK tiny white gills, crusts",0,613.29,606.35,,,,,,
JUNI-b,2-A,4-H,6/11/2014,,y,"UNK tiny white gills, collected",0,834.84,827.04,,,,,,
JUVI2-b,2-C,4-H,6/11/2014,,y,"UNK small white gills, collected",2.82,573.66,567.65,,,,,,
LOMA-b,7-D,4-H,6/11/2014,,y,"UNK tiny white gills on bark only, collected",1.03,592.65,585.14,,,,,,
PIEC-b,2-G,4-H,6/11/2014,,n,NA,12.87,477.27,465.02,,,,,,
QUAL-b,6-E,4-H,6/11/2014,,y,"UNK white gilled, smashed, not collected",3.27,869.62,855.83,,,,,,
QUVE2-b,2-I,4-H,6/11/2014,,n,NA,0,393.28,382.15,,,,,,
CEDA,,4-H,,,,,,,,,,,,,
CHRY,,4-H,,,,,,,,,,,,,
HDMP,,4-H,,,,,,,,,,,,,
HICK,,4-H,,,,,,,,,,,,,
PINE,,4-H,,,,,,,,,,,,,
ROAK,,4-H,,,,,,,,,,,,,
ROSE,,4-H,,,,,,,,,,,,,
ZEBRA,,4-H,,,,,,,,,,,,,
